Id;date;station;count
278;2022-01-14;18th St & Wyoming Ave NW;39
279;2022-11-17;18th St & Wyoming Ave NW;67
280;2022-03-27;18th St & Wyoming Ave NW;34
281;2022-01-20;18th St & Wyoming Ave NW;30
282;2022-03-01;18th St & Wyoming Ave NW;38
283;2022-11-15;18th St & Wyoming Ave NW;20
284;2022-03-12;18th St & Wyoming Ave NW;23
285;2022-02-09;18th St & Wyoming Ave NW;49
286;2022-02-08;18th St & Wyoming Ave NW;34
287;2022-01-06;18th St & Wyoming Ave NW;15
288;2022-11-18;18th St & Wyoming Ave NW;63
289;2022-11-19;18th St & Wyoming Ave NW;45
290;2022-02-24;18th St & Wyoming Ave NW;28
291;2022-02-25;18th St & Wyoming Ave NW;37
292;2022-01-19;18th St & Wyoming Ave NW;34
293;2022-01-13;18th St & Wyoming Ave NW;22
294;2022-01-25;18th St & Wyoming Ave NW;27
295;2022-02-13;18th St & Wyoming Ave NW;19
296;2022-02-26;18th St & Wyoming Ave NW;44
297;2022-03-04;18th St & Wyoming Ave NW;57
298;2022-01-10;18th St & Wyoming Ave NW;26
299;2022-01-03;18th St & Wyoming Ave NW;1
300;2022-02-16;18th St & Wyoming Ave NW;39
301;2022-02-19;18th St & Wyoming Ave NW;48
302;2022-01-17;18th St & Wyoming Ave NW;12
303;2022-01-18;18th St & Wyoming Ave NW;15
304;2022-11-20;18th St & Wyoming Ave NW;30
305;2022-02-02;18th St & Wyoming Ave NW;39
306;2022-02-07;18th St & Wyoming Ave NW;26
307;2022-11-21;18th St & Wyoming Ave NW;43
308;2022-01-24;18th St & Wyoming Ave NW;18
309;2022-01-09;18th St & Wyoming Ave NW;18
310;2022-03-28;18th St & Wyoming Ave NW;28
311;2022-03-29;18th St & Wyoming Ave NW;35
312;2022-01-28;18th St & Wyoming Ave NW;32
313;2022-01-05;18th St & Wyoming Ave NW;14
314;2022-02-05;18th St & Wyoming Ave NW;50
315;2022-01-12;18th St & Wyoming Ave NW;31
316;2022-02-01;18th St & Wyoming Ave NW;27
317;2022-01-07;18th St & Wyoming Ave NW;13
318;2022-02-20;18th St & Wyoming Ave NW;46
319;2022-01-23;18th St & Wyoming Ave NW;31
320;2022-01-31;18th St & Wyoming Ave NW;26
321;2022-02-15;18th St & Wyoming Ave NW;32
322;2022-01-26;18th St & Wyoming Ave NW;27
323;2022-01-04;18th St & Wyoming Ave NW;2
324;2022-03-13;18th St & Wyoming Ave NW;38
325;2022-02-06;18th St & Wyoming Ave NW;44
326;2022-02-14;18th St & Wyoming Ave NW;28
327;2022-01-15;18th St & Wyoming Ave NW;27
328;2022-01-29;18th St & Wyoming Ave NW;27
329;2022-01-27;18th St & Wyoming Ave NW;33
330;2022-01-08;18th St & Wyoming Ave NW;33
331;2022-01-11;18th St & Wyoming Ave NW;26
332;2022-01-21;18th St & Wyoming Ave NW;34
333;2022-01-22;18th St & Wyoming Ave NW;31
334;2022-01-30;18th St & Wyoming Ave NW;22
335;2022-01-16;18th St & Wyoming Ave NW;18
